銘柄コード,売り上げ高(2019),売り上げ高(2020),売り上げ高(2021),営業益(2019),営業益(2020),営業益(2021),営業利益率(2019),営業利益率(2020),営業利益率(2021),ROE(2019),ROE(2020),ROE(2021)
4442,"3,279","4,875","5,632",188,321,428,5.73,6.58,7.60,43.17,26.99,21.48
4441,842,981,"1,227",228,406,468,27.08,41.39,38.14,75.58,39.06,24.29
7676,"32,393","33,704","42,000",405,124,600,1.25,0.37,1.43,21.53,-1.79,20.20
7064,658,834,971,72,91,-367,10.94,10.91,-37.80,43.70,14.49,-77.24
4440,"2,300","2,222",－,251,336,－,10.91,15.12,－,21.71,12.50,－
4439,"10,855","11,517","12,020",608,835,909,5.60,7.25,7.56,16.00,14.27,13.02
7675,-,-,-,-,-,-,-,-,-,-,-,-
4438,808,798,"1,217",156,16,112,19.31,2.01,9.20,15.24,-0.76,5.35
7063,"2,133","2,121","3,004",189,-74,130,8.86,-3.49,4.33,16.82,-83.36,19.55
7061,"4,193","5,200",-,501,550,-,11.95,10.58,-,47.44,19.92,-
7062,"3,711","3,962","3,881",276,74,-41,7.44,1.87,-1.06,17.50,3.99,1.20
7674,"3,983","4,255","4,700",316,9,10,7.93,0.21,0.21,20.53,-8.71,0.06
4437,"4,992","5,758","5,327",310,381,80,6.21,6.62,1.50,20.27,16.80,0.06
7060,"3,050","3,544","3,450",552,684,700,18.10,19.30,20.29,21.74,12.80,11.45
1451,"13,364","11,805","10,800",812,670,400,6.08,5.68,3.70,9.55,7.73,3.93
4436,"2,032","2,790","4,000",256,523,700,12.60,18.75,17.50,－,14.42,14.45
7059,"10,819","13,122","15,432","1,344","1,592","1,793",12.42,12.13,11.62,25.37,21.30,21.39
7058,"5,682","6,415","6,477",403,445,449,7.09,6.94,6.93,9.32,8.87,8.58
4435,"1,690","2,625","3,370",-73,-278,-60,-4.32,-10.59,-1.78,-11.70,-30.49,-15.73
7057,"6,516","6,610","6,702",261,229,259,4.01,3.46,3.86,17.69,10.30,11.15
4434,"4,477","6,811","8,003",335,417,392,7.48,6.12,4.90,23.31,13.96,5.32
2972,"2,005","2,135",-,996,"1,051",-,49.68,49.23,-,－,－,-
7673,"15,044","15,544","16,500",750,763,806,4.99,4.91,4.88,8.59,9.59,9.48
1887,"119,525","118,529","130,000","14,576","10,367","9,500",12.19,8.75,7.31,18.37,12.06,9.71
4433,"63,819","71,499","73,000","2,991","3,149","3,500",4.69,4.40,4.79,17.15,12.23,16.15
4431,"1,976","3,249","3,251",431,751,678,21.81,23.11,20.86,17.94,17.96,14.25
7050,"12,780","13,118",－,"1,126","1,285",－,8.81,9.80,－,21.30,17.47,－
4430,"6,306","6,730","6,900",452,509,518,7.17,7.56,7.51,12.60,12.05,11.40
4429,"2,482","3,088","3,906",371,402,540,14.95,13.02,13.82,35.44,23.74,24.56
7049,"1,251","1,720","2,500",247,283,115,19.74,16.45,4.60,42.13,21.62,-5.68
2971,"1,544","1,902","1,913",963,"1,110","1,084",62.37,58.36,56.66,－,－,－
4428,914,"1,081","1,000",231,301,67,25.27,27.84,6.70,20.38,17.02,1.68
7048,"3,371","4,351",－,417,844,－,12.37,19.40,－,32.53,30.12,－
4427,"6,272","8,252","12,000","1,462","1,869","2,200",23.31,22.65,18.33,17.00,15.29,15.83
6232,807,"1,278","1,550",-330,15,-125,-40.89,1.17,-8.06,-5.45,4.91,-1.93
7037,"9,403","10,050","10,825",340,485,601,3.62,4.83,5.55,15.61,17.61,17.37
7047,"3,039","4,103","4,300",542,699,-65,17.83,17.04,-1.51,42.05,18.18,-1.78
4424,"3,386","7,524","9,068",416,"1,097",900,12.29,14.58,9.93,47.60,55.25,35.66
7671,"2,718","2,894","2,928",232,283,253,8.54,9.78,8.64,11.66,16.20,9.07
4425,376,456,130,123,9,－,32.71,1.97,－,19.04,-3.20,－
9434,"3,746,305","4,861,247","4,900,000","719,459","911,725","920,000",19.20,18.75,18.78,36.43,37.87,43.05
1450,"6,234","6,662","7,300",781,796,872,12.53,11.95,11.95,16.30,14.64,13.95
7046,"1,351","1,377","1,382",195,126,18,14.43,9.15,1.30,14.61,6.79,10.94
2970,"2,956","4,568","4,745",504,568,198,17.05,12.43,4.17,29.02,20.40,5.40
7045,"8,130","8,257","7,992",446,365,61,5.49,4.42,0.76,16.49,11.10,0.00
1449,"1,322","1,507","1,522",59,79,47,4.46,5.24,3.09,26.81,22.86,11.21
7670,"64,671","64,508","54,500","1,254",736,-80,1.94,1.14,-0.15,5.69,3.01,0.20
4423,"49,219","51,494","52,235","7,466","8,669","8,854",15.17,16.83,16.95,32.55,28.35,26.18
7043,"2,305","2,509","1,700",183,165,-315,7.94,6.58,-18.53,13.41,11.20,-35.29
7044,"10,585","13,566","15,865",324,408,531,3.06,3.01,3.35,20.15,18.24,16.68
3498,"5,352","8,008","12,500",699,326,"1,250",13.06,4.07,10.00,39.55,4.95,19.95
7042,"4,560","3,789","4,100",58,-171,20,1.27,-4.51,0.49,0.19,-29.72,-1.05
4422,557,587,－,-76,-94,－,-13.64,-16.01,－,-18.96,-10.06,－
3497,"23,727","26,703","26,643","2,318","1,780","1,209",9.77,6.67,4.54,25.39,2.61,3.51
4421,"3,856","4,283","4,933",236,106,181,6.12,2.47,3.67,25.33,8.67,13.30
9279,"6,971","9,052","10,880",775,"1,006",569,11.12,11.11,5.23,26.28,17.99,4.14
7805,"7,387","8,097","7,836",777,-47,-117,10.52,-0.58,-1.49,21.14,0.06,-4.92
4420,"8,752","9,644","9,025",698,748,602,7.98,7.76,6.67,15.48,13.86,10.98
4598,0,100,300,-592,"-1,545",-850,－,"-1,545.00",-283.33,-31.11,-55.94,-53.43
7041,"22,189","20,148","20,250",455,416,370,2.05,2.06,1.83,15.26,9.11,12.14
7039,"2,912","3,262","3,696",348,385,424,11.95,11.80,11.47,14.56,12.86,11.85
1447,"25,673",-,-,324,-,-,1.26,-,-,2.85,-,-
1448,"85,666","85,481","80,000","4,176","2,483","2,500",4.87,2.90,3.13,0.87,3.96,9.98
4399,-,-,-,-,-,-,-,-,-,-,-,-
5290,"40,000",-,-,"4,000",-,-,10.00,-,-,10.65,-,-
6699,"55,610","71,012","66,500",594,511,330,1.07,0.72,0.50,1.99,-27.06,-31.85
7040,"12,470","11,839","10,300",976,381,210,7.83,3.22,2.04,8.30,-22.07,0.47
7327,-,-,-,-,-,-,-,-,-,-,-,-
9278,"80,796","84,389","96,000","1,550","1,428","1,300",1.92,1.69,1.35,16.70,1.87,－
3612,"249,861","236,265","199,200","14,827","12,314","-6,780",5.93,5.21,-3.40,17.69,10.14,-8.67
7038,"4,690","4,771","5,300",672,663,800,14.33,13.90,15.09,35.78,21.02,26.56
6233,"9,159","8,006","9,235",248,120,170,2.71,1.50,1.84,5.47,2.50,2.99
7326,"66,388","70,467","80,000","2,131","2,360","3,700",3.21,3.35,4.63,2.46,0.84,1.60
4398,"3,670","4,176","4,580",120,342,400,3.27,8.19,8.73,9.74,25.09,33.64
7325,"3,870","4,169","4,900",546,488,480,14.11,11.71,9.80,12.86,9.44,8.97
7036,"6,894","7,855","8,666",255,327,350,3.70,4.16,4.04,25.30,25.45,21.00
3496,"2,728","3,814","4,800",93,224,450,3.41,5.87,9.38,6.49,15.08,30.32
3494,"2,735","3,769","1,800",600,611,280,21.94,16.21,15.56,6.29,6.98,1.84
3495,"6,248","7,535","7,598",577,561,582,9.23,7.45,7.66,13.31,12.42,11.90
3493,"1,759","2,399","2,610",839,"1,193","1,301",47.70,49.73,49.85,－,－,－
7035,"3,916","2,946","3,540",512,-202,-27,13.07,-6.86,-0.76,29.05,-22.30,-12.57
9275,"29,700","32,962","30,776","1,625","1,664",452,5.47,5.05,1.47,54.22,25.32,3.20
4397,"1,820","2,445","3,150",243,285,260,13.35,11.66,8.25,22.80,19.88,9.00
4396,"11,762","13,376","14,342",529,754,798,4.50,5.64,5.56,27.22,20.53,21.11
5699,"6,465","6,250","6,246",280,304,404,4.33,4.86,6.47,11.08,10.25,9.19
3492,"3,076","2,750","2,758","1,912","1,611","1,611",62.16,58.58,58.41,－,－,－
7034,"1,651","2,641","3,468",614,"1,065","1,235",37.19,40.33,35.61,22.88,20.52,12.58
4394,834,976,865,145,187,76,17.39,19.16,8.79,12.15,10.55,4.29
4395,"1,291","1,413","1,650",246,254,300,19.05,17.98,18.18,29.95,18.42,17.80
3491,"20,126","39,286","61,000",678,"1,193","1,800",3.37,3.04,2.95,28.81,12.46,12.13
4393,"4,295","3,061",－,526,-60,－,12.25,-1.96,－,29.65,-5.56,－
7033,"2,917","3,894","5,495",324,449,279,11.11,11.53,5.08,26.85,19.19,10.42
7806,"36,046","34,845","40,000","-14,421","1,219","1,400",-40.01,3.50,3.50,-58.46,4.70,2.70
