順位,銘柄コード,証券,企業名,取引月日,取引値,上場年月日,決算年月,時価総額
82,4478,マザーズ,フリー(株),15:00,"9,600",2019/12/17,2020/06,"466,054"
83,4482,マザーズ,(株)ウィルズ,15:00,"1,101",2019/12/17,2019/12,"20,854"
84,4481,東証2部,ベース(株),15:00,"5,880",2019/12/16,2019/12,"52,500"
85,4483,マザーズ,(株)ＪＭＤＣ,15:00,"5,070",2019/12/16,2020/03,"267,857"
86,4484,マザーズ,ランサーズ(株),15:00,851,2019/12/16,2020/03,"13,242"
87,4480,マザーズ,(株)メドレー,15:00,"5,440",2019/12/12,2019/12,"165,782"
88,4479,マザーズ,(株)マクアケ,15:00,"10,250",2019/12/11,2020/09,"119,655"
89,2979,東証,SOSiLA物流リート投資法人,15:00,"123,600",2019/12/10,,"63,574"
90,3449,東証2部,(株)テクノフレックス,15:00,"1,153",2019/12/10,2019/12,"24,628"
91,7077,マザーズ,(株)ＡＬｉＮＫインターネット,14:57,"2,307",2019/12/10,2020/02,"4,850"
92,7076,名古屋セ,名南Ｍ＆Ａ(株),15:24,"6,080",2019/12/02,2020/09,"9,490"
93,7074,マザーズ,(株)トゥエンティーフォーセブン,15:00,942,2019/11/21,2019/11,"4,239"
94,7683,マザーズ,(株)ダブルエー,15:00,"2,940",2019/11/01,2020/01,"13,956"
95,4251,東証2部,恵和(株),15:00,"1,467",2019/10/30,2019/12,"11,754"
96,7073,マザーズ,(株)ジェイック,14:59,"2,802",2019/10/29,2020/01,"2,541"
97,4880,マザーズ,セルソース(株),15:00,"8,830",2019/10/28,2019/10,"54,273"
98,4477,マザーズ,ＢＡＳＥ(株),15:00,"9,580",2019/10/25,2019/12,"208,673"
99,7072,マザーズ,(株)インティメート・マージャー,15:00,"1,828",2019/10/24,2020/09,"5,291"
100,4691,東証2部,ワシントンホテル(株),15:00,686,2019/10/18,2020/03,"8,349"
101,7682,東証JQS,(株)浜木綿,14:59,"2,334",2019/10/18,2020/07,"2,503"
102,7071,東証JQS,(株)アンビスホールディングス,15:00,"4,350",2019/10/09,2020/09,"97,971"
103,4475,マザーズ,ＨＥＮＮＧＥ(株),15:00,"6,760",2019/10/08,2020/09,"108,175"
104,4476,マザーズ,ＡＩ　ＣＲＯＳＳ(株),15:00,"1,879",2019/10/08,2019/12,"7,473"
105,7681,東証2部,(株)レオクラン,15:00,"2,258",2019/10/02,2020/09,"4,413"
106,4450,マザーズ,(株)パワーソリューションズ,15:00,"2,655",2019/10/01,2019/12,"3,629"
107,7070,東証JQG,ＳＩホールディングス(株),15:00,567,2019/10/01,2020/03,"6,424"
108,6597,マザーズ,ＨＰＣシステムズ(株),15:00,"2,560",2019/09/26,2020/06,"10,721"
109,4448,マザーズ,Ｃｈａｔｗｏｒｋ(株),15:00,"1,341",2019/09/24,2019/12,"49,242"
110,4449,マザーズ,(株)ギフティ,15:00,"3,210",2019/09/20,2019/12,"85,452"
111,7069,マザーズ,(株)サイバー・バズ,14:59,"2,790",2019/09/19,2020/09,"10,555"
112,7800,東証JQS,(株)アミファ,15:00,744,2019/09/19,2020/09,"2,399"
113,4447,福岡Q,(株)ピー・ビーシステムズ,15:30,"1,019",2019/09/12,2020/09,"6,001"
114,7679,東証1部,(株)薬王堂ホールディングス,15:00,"2,515",2019/09/02,2020/02,"49,647"
115,4599,マザーズ,(株)ステムリム,15:00,825,2019/08/09,2020/07,"47,530"
116,2978,マザーズ,(株)ツクルバ,15:00,683,2019/07/31,2020/07,"6,708"
117,7803,マザーズ,(株)ブシロード,15:00,"3,025",2019/07/29,2020/07,"49,424"
118,7804,マザーズ,(株)ビーアンドピー,13:05,"1,133",2019/07/24,2019/10,"2,606"
119,4446,東証1部,(株)Ｌｉｎｋ－Ｕ,15:00,"1,663",2019/07/18,2020/07,"23,213"
120,7068,マザーズ,(株)フィードフォース,15:00,"5,650",2019/07/05,2020/05,"36,288"
121,4445,マザーズ,リビン・テクノロジーズ(株),15:00,"2,947",2019/06/28,2020/09,"3,949"
122,4931,マザーズ,新日本製薬(株),15:00,"3,325",2019/06/27,2020/09,"71,858"
123,7678,東証JQS,(株)あさくま,14:44,"1,504",2019/06/27,2020/03,"8,084"
124,7677,東証2部,(株)ヤシマキザイ,10:18,"1,896",2019/06/26,2020/03,"5,460"
125,4444,マザーズ,(株)インフォネット,15:00,"1,432",2019/06/25,2020/03,"2,795"
126,7067,マザーズ,ブランディングテクノロジー(株),15:00,"1,598",2019/06/21,2020/03,"2,582"
127,7066,マザーズ,(株)ピアズ,14:58,"1,864",2019/06/20,2020/09,"4,223"
128,2976,札幌ア,日本グランデ(株),14:59,700,2019/06/19,2020/03,842
129,4443,マザーズ,Ｓａｎｓａｎ(株),15:00,"6,300",2019/06/19,2020/05,"196,175"
130,7065,東証2部,ユーピーアール(株),15:00,"3,605",2019/06/12,2020/08,"27,614"
131,2974,福証,大英産業(株),15:29,880,2019/06/04,2020/09,"2,882"
132,2975,東証1部,スター・マイカ・ホールディングス(株),15:00,"1,502",2019/06/01,2019/11,"27,379"
133,4442,マザーズ,バルテス(株),15:00,"2,701",2019/05/30,2020/03,"19,312"
134,4441,東証1部,トビラシステムズ(株),15:00,"1,676",2019/04/25,2019/10,"17,406"
